Sex	Height	HeightF	HeightM	ChildFF	ChildF	ChildMM	ChildM
female	180	185	172	12	2	3	1
female	178	175	176	5	2	2	2
male	178	178	168	2	3	2	2
male	187	188	170	1	2	2	2
female	158	188	154	6	2	5	2
female	169	183	168	3	1	2	1
female	172	175	165	1	3	2	3
male	173	167	169	3	2	3	2
female	172	182	162	2	2	2	2
female	171	169	168	1	3	3	3
female	167	189	168	7	3	2	3
female	172	180	170	2	2	4	2
male	176	190	160	4	2	2	2
male	180	182	167	2	2	2	2
female	162	168	156	4	2	3	2
female	167	174	160	2	2	6	2
female	164	192	163	3	2	3	2
female	172	183	174	3	2	1	2
female	173	199	162	3	3	4	3
male	174	172	168	4	4	5	4
female	172	180	170	2	3	3	3
male	170	185	165	3	2	2	2
female	160	175	165	3	2	4	2
female	174	172	172	5	3	2	3
male	185	190	175	3	3	2	3
female	182	201	180	5	3	2	3
male	184	185	175	3	3	2	3
female	163	170	172	3	3	4	2
female	170	168	165	1	2	2	2
male	177	180	173	3	4	2	4
female	166	180	164	2	2	3	2
male	193	190	170	2	2	2	2
male	185	187	173	2	2	3	2
female	170	185	169	2	3	3	3
male	180	180	167	2	2	2	2
female	171	182	180	2	1	4	1
female	166	167	165	5	5	3	3
female	175	194	160	2	3	2	3
female	176	186	162	2	2	4	2
female	166	182	166	2	2	2	2
male	173	171	160	4	3	2	3
female	160	192	165	4	3	2	3
female	176	174	174	3	1	4	3
female	180	195	167	2	3	1	3
male	190	182	176	3	2	1	2
male	185	183	168	3	4	3	4
female	175	185	175	2	3	3	1
male	180	184	168	3	2	3	2
male	198	189	173	2	3	2	3
male	185	180	178	4	2	2	3
female	179	185	167	4	4	3	4
female	168	194	170	2	1	3	3
female	165	165	167	3	2	2	2
male	178	175	177	2	1	3	1
female	165	185	167	4	3	8	3
female	163	172	162	7	2	3	2
male	188	181	180	2	6	5	4
female	185	207	170	3	2	3	2
female	160	187	155	3	2	3	2
female	168	184	163	4	3	3	3
female	168	185	180	2	4	3	2
male	176	175	163	3	2	3	2
female	172	185	167	3	3	5	3
male	185	190	167	2	2	5	2
male	198	193	180	3	3	2	2
female	165	182	172	1	2	3	2
female	173	186	172	3	2	3	2
female	158	179	163	2	2	3	2
female	161	186	158	2	2	1	1
female	190	190	175	3	2	7	2
female	178	183	168	3	2	2	2
female	167	182	164	1	1	6	1
female	185	193	170	3	2	2	2
female	165	170	167	6	5	5	5
female	173	192	167	2	2	1	2
female	174	192	155	2	3	6	3
female	166	170	178	9	4	1	4
female	166	172	164	4	4	5	4
female	185	183	172	4	2	2	2
male	180	185	162	2	2	3	2
male	194	177	176	2	3	3	2
male	179	179	168	2	4	3	2
female	165	172	167	2	2	4	2
female	163	175	160	4	3	4	2
female	168	179	160	3	2	2	2
male	183	184	170	4	3	3	3
female	169	185	170	2	1	2	2
female	165	173	178	2	1	3	1
female	168	188	163	3	3	3	2
female	175	182	172	5	2	4	2
female	172	186	167	2	3	2	3
male	192	180	174	2	4	2	4
male	184	180	176	3	3	3	3
female	159	180	164	3	3	3	3
male	185	179	181	4	3	4	4
male	183	178	175	1	4	4	4
male	183	178	175	3	2	1	2
female	169	174	169	3	3	3	2
female	174	202	167	3	2	1	3
female	170	170	158	5	2	3	2
female	166	181	169	2	3	3	3
female	164	190	170	4	2	2	2
female	168	185	167	1	2	3	2
female	170	185	173	4	4	2	4
female	164	185	168	3	2	3	1
female	175	190	175	2	3	2	3
female	172	183	175	4	4	4	4
female	173	185	175	1	4	1	1
female	176	177	178	2	3	3	2
female	169	175	168	1	3	4	3
male	177	176	165	4	3	2	3
female	162	175	165	2	2	2	4
female	164	172	160	4	3	3	2
male	177	171	173	3	4	3	3
female	169	178	168	2	2	3	2
female	173	175	175	1	2	3	2
female	173	185	172	3	1	2	1
male	184	180	165	2	2	5	2
female	171	176	173	2	4	2	4
female	159	180	163	2	2	2	2
male	187	180	160	7	5	3	1
female	173	175	178	6	2	3	2
female	163	180	164	3	2	3	3
female	182	203	172	4	2	2	2
male	180	194	164	5	4	4	2
female	175	188	164	3	3	2	3
female	160	173	158	9	3	4	2
female	163	178	166	1	2	3	2
female	170	185	167	2	1	2	1
female	159	178	173	5	2	3	2
female	176	180	180	8	4	4	3
female	162	180	160	5	4	2	4
female	157	180	160	4	2	3	2
female	160	180	160	2	4	3	2
female	168	195	164	2	3	3	3
female	176	180	178	2	2	3	2
male	195	180	165	3	2	2	2
male	179	185	167	3	2	3	2
male	183	182	175	4	4	3	4
male	185	185	178	2	3	3	3
male	188	185	165	3	4	5	4
male	181	175	170	2	3	3	3
female	175	197	165	4	5	2	5
male	175	174	164	4	2	1	2
male	179	183	174	4	3	3	2
female	168	183	159	2	3	2	3
male	190	186	172	4	1	3	3
female	169	183	168	4	2	4	2
female	170	168	165	5	2	2	3
female	172	180	174	2	2	3	3
male	183	180	174	1	2	4	2
female	175	178	170	2	3	4	4
female	169	175	180	3	1	3	1
female	170	177	164	4	1	2	3
male	179	185	156	4	3	2	3
female	157	174	162	2	1	7	3
male	178	175	178	2	1	3	1
male	192	184	172	2	3	3	3
female	164	179	165	3	1	3	1
male	178	192	169	3	3	4	3
female	162	174	172	3	3	4	3
female	169	188	168	2	2	5	4
female	175	198	162	3	3	2	2
female	165	192	160	3	3	2	3
female	168	177	173	2	2	2	2
male	183	177	167	3	2	3	2
female	165	170	160	2	1	1	1
female	159	183	160	4	1	2	1
male	196	196	173	2	2	2	1
female	172	177	180	3	2	2	2
female	170	187	167	2	2	3	3
female	159	180	163	3	3	3	3
male	180	180	175	2	2	2	2
female	167	172	172	1	3	2	3
female	172	192	167	2	2	1	2
female	174	190	171	1	2	4	2
male	196	185	172	1	2	2	2
female	175	186	170	3	3	1	3
male	188	186	164	2	2	5	2
female	169	178	170	2	7	5	7
male	174	180	156	2	3	1	3
male	183	190	167	2	2	2	2
male	180	178	165	2	2	2	3
female	167	190	161	5	3	2	3
female	164	183	165	3	4	2	2
female	167	176	163	5	4	4	1
female	162	167	165	6	2	2	1
female	159	180	165	3	3	3	3
female	166	172	163	4	1	2	1
male	186	185	165	8	2	2	2
female	176	185	174	2	2	3	3
female	171	196	165	2	3	3	2
female	156	172	162	3	3	1	1
female	163	176	168	2	2	4	2
male	192	189	171	6	2	4	2
